LSOAs,Median_houseP
E01003579,240
E01003585,220
E01003587,149.995
E01003591,144.563
E01003528,188.5
E01003575,212
E01003577,166.25
E01003580,200
E01003545,230
E01003548,227.75
E01003549,193
E01003557,287.5
E01003547,280
E01003555,320
E01003561,239
E01003567,169.5
E01003556,115
E01003558,149.5
E01003570,226
E01003571,206
E01003572,250
E01003551,250
E01003553,175
E01003554,246.25
E01003559,236
E01003529,245
E01003530,225
E01003531,250
E01003532,242
E01003534,221.5
E01003533,217.5
E01003560,210
E01003563,224.5
E01003588,218
E01003589,198.5
E01003616,242
E01003617,200
E01003618,228
E01003619,220.5
E01003615,237
E01033578,217.5
E01033579,211
E01033583,246.95
E01033586,211.95
E01003562,197.5
E01003564,210
E01003565,215
E01003566,218.5
E01003625,190
E01003626,232.5
E01003627,245
E01003628,236.25
E01003629,134
E01003552,249.973
E01003596,245
E01003597,220
E01003635,250
E01003568,244
E01003569,285
E01003573,214.5
E01003574,235.5
E01003520,249.498
E01003521,226.75
E01003522,190
E01003525,220
E01003526,195
E01003488,159.998
E01003489,180.498
E01003490,206.5
E01003524,216
E01003631,191.5
E01003632,227.5
E01003633,175
E01003634,234.625
E01003636,240
E01003598,183.5
E01003600,135
E01003630,217.75
E01003637,224
E01003491,170
E01003592,201
E01003599,141.5
E01003606,195
E01003535,182
E01003536,171.5
E01003621,212.5
E01003622,220
E01003623,206
E01003523,115
E01003527,200
E01003537,200
E01003542,150.5
E01003624,204
E01003492,220
E01003493,226
E01003494,199.995
E01003495,228.5
E01003594,203.5
E01003595,194.25
E01003602,227
E01003607,180
E01003496,204.25
E01003498,168.5
E01003500,240
E01003593,216.5
E01003601,226.5
E01003603,183.5
E01003605,164
E01003608,195.5
E01003538,220
E01003539,203
E01003540,168.5
E01003541,191
E01003499,125
E01003501,191.5
E01003502,182.5
E01003503,155
E01003507,180
E01003508,190.5
E01003509,138
E01003604,163
E01003483,272.5
E01003484,223.25
E01003516,180
E01003518,202.5
E01003519,195
E01003480,235
E01003482,250
E01003486,188
E01003487,210
E01003497,206.25
E01003506,137
E01033574,336.5
E01033575,272.5
E01033576,195
E01033584,198.75
E01033585,248
E01003479,165
E01003481,227.5
E01003485,222.498
E01003513,239
E01003511,184
E01003512,182.5
E01003514,182.5
E01003515,137.5
E01003517,191
E01003609,242.495
E01003611,140
E01033577,315
E01033580,240
E01033581,175
E01033582,240
E01004029,375
E01004032,380
E01004053,352.5
E01004054,312.5
E01004055,277.5
E01003927,363
E01003929,360
E01003934,727.5
E01003935,691.25
E01003939,367.5
E01003976,385
E01004027,330
E01032637,495
E01032638,611.5
E01032640,480
E01032646,471.25
E01032803,385
E01032834,666.25
E01003975,332.5
E01003978,275
E01004022,262.5
E01004023,400
E01004028,224.5
E01003938,253
E01003940,250
E01003941,520
E01003942,282.498
E01003979,307.5
E01003981,328
E01004030,540
E01004031,287.5
E01004033,271
E01004034,193.5
E01004036,176.25
E01004056,298.725
E01004057,308.5
E01004058,318
E01004059,348
